date,close
2017-12-05,20.97
2017-12-06,21.7
2017-12-07,21.14
2017-12-08,21.38
2017-12-11,21.5
2017-12-12,21.11
2017-12-13,20.84
2017-12-14,20.49
2017-12-15,20.5
2017-12-18,20.58
2017-12-19,20.79
2017-12-20,20.36
2017-12-21,20.08
2017-12-22,20.14
2017-12-25,19.59
2017-12-26,19.76
2017-12-27,19.68
2017-12-28,19.78
2017-12-29,20.43
2018-01-02,20.53
2018-01-03,20.62
2018-01-04,20.46
2018-01-05,20.22
2018-01-08,20.42
2018-01-09,20.19
2018-01-10,20.15
2018-01-11,20.37
2018-01-12,20.04
2018-01-15,19.19
2018-01-16,19.12
2018-01-17,19.4
2018-01-18,19.15
2018-01-19,18.97
2018-01-22,19.24
2018-01-23,19.29
2018-01-24,19.61
2018-01-25,19.4
2018-01-26,19.17
2018-01-29,18.96
2018-01-30,18.83
2018-01-31,18.02
2018-02-01,16.92
2018-02-02,17.9
2018-02-05,17.45
2018-02-06,16.33
2018-02-07,16.74
2018-02-08,17.37
2018-02-09,17.6
2018-02-12,17.74
2018-02-13,17.32
2018-02-14,17.43
2018-02-22,17.78
2018-02-23,17.69
2018-02-26,18.34
2018-02-27,18.57
2018-02-28,18.7
2018-03-01,18.96
2018-03-02,18.61
2018-03-05,18.88
2018-03-06,19.06
2018-03-07,18.72
2018-03-08,18.76
2018-03-09,19.16
2018-03-12,19.24
2018-03-13,19.32
2018-03-14,19.24
2018-03-15,19.01
2018-03-16,18.8
2018-03-19,19.17
2018-03-20,19.04
2018-03-21,19.07
2018-03-22,18.74
2018-03-23,17.75
2018-03-26,17.96
2018-03-27,18.49
2018-03-28,18.18
2018-03-29,18.44
2018-03-30,19.33
